Cidades;População Total;Variação absoluta da população residente 2010 compatibilizada;Taxa de crescimento geométrico;Densidade demográfica (Habitante por quilômetro quadrado);Área da unidade territorial (Quilômetros quadrados);Média de moradores em domicílios particulares permanentes ocupados;Total;Rede geral;Lixo Coletado;Companhia Distribuidora;Tinham banheiro  de uso exclusivo do domicílio  rede geral de esgoto ou pluvial;Tinham sanitário  rede geral de esgoto ou pluvial;agua;lixo;energia;esgoto banheiro;esgoto sanitario;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010;Esperança de vida ao nascer 2010;% de 18 anos ou mais de idade com ensino fundamental completo 2010;Taxa de frequência bruta ao ensino médio 2010;% de extremamente pobres 2010;% de pobres 2010
Abaíra;7301;-1540;-1,58;13,55;539;2722;2574;2357;1412;2490;247;1;0,9157;0,5486;0,9674;0,096;0,0004;0,603;0,577;0,746;0,51;69,76;28,9;108,4;18,39;31,74
Aiquara;4446;-202;-0,37;26,48;168;1505;1359;794;953;1289;801;27;0,5843;0,7013;0,9485;0,5894;0,0199;0,583;0,573;0,733;0,471;69;33,13;44,42;11,27;27,11
Anagé;25438;15;0;13,39;1900;8875;7239;1897;1715;6439;565;7;0,2621;0,2369;0,8895;0,078;0,001;0,54;0,549;0,771;0,371;71,27;20,04;55,14;21,74;39,06
Apuarema;6913;-550;-0,64;45,83;151;2489;2115;1316;1496;1896;838;46;0,6222;0,7073;0,8965;0,3962;0,0217;0,552;0,555;0,735;0,413;69,09;24,88;59,8;13,05;39,49
Aracatu;13936;193;0,12;9,35;1490;4607;3650;1099;1066;2753;15;;0,3011;0,2921;0,7542;0,0041;0;0,581;0,591;0,754;0,439;70,25;22,09;81,78;12,39;28,51
Barra da Estiva;26026;3853;1,34;15,7;1657;8633;5617;4354;3099;5292;2538;17;0,7751;0,5517;0,9421;0,4518;0,003;0,575;0,566;0,717;0,469;67,99;30,88;57,11;18,55;41,63
Barra do Choça;36539;1722;0,4;47,71;766;12260;9207;6965;7517;8846;1916;14;0,7565;0,8164;0,9608;0,2081;0,0015;0,551;0,563;0,77;0,386;71,21;23,23;48,13;12,55;31,84
Barra do Rocha;5774;-817;-1,1;26,93;214;2141;1798;1057;1100;1623;837;8;0,5879;0,6118;0,9027;0,4655;0,0044;0,577;0,585;0,705;0,465;67,29;32,18;59,28;13,45;34,9
Belo Campo;18412;561;0,26;23,83;773;6361;4359;394;2456;4150;22;;0,0904;0,5634;0,9521;0,005;0;0,575;0,562;0,76;0,444;70,59;25,07;58,04;19,67;39,69
Boa Nova;13690;-1651;-0,94;16,13;849;4728;4223;2633;2175;3571;1082;25;0,6235;0,515;0,8456;0,2562;0,0059;0,567;0,535;0,753;0,453;70,18;22,93;73,06;24,98;47,41
