Iden	CD_MUN	NM_MUN	SIGLA_UF	AREA_KM2	SEQUENCE	PREFIXE/SEQUENCE
2900108	2900108	ABAÃ­RA	BA	538.677	01	INTERMEDIARIA01
2900504	2900504	ÃRICO CARDOSO	BA	735.249	02	INTERMEDIARIA02
2900603	2900603	AIQUARA	BA	167.877	03	INTERMEDIARIA03
2901205	2901205	ANAGÃ©	BA	1899.683	04	INTERMEDIARIA04
2901957	2901957	APUAREMA	BA	150.830	05	INTERMEDIARIA05
2902005	2902005	ARACATU	BA	1489.803	06	INTERMEDIARIA06
2902807	2902807	BARRA DA ESTIVA	BA	1657.413	07	INTERMEDIARIA07
2902906	2902906	BARRA DO CHOÃ§A	BA	765.936	08	INTERMEDIARIA08
2903102	2903102	BARRA DO ROCHA	BA	214.411	09	INTERMEDIARIA09
2903508	2903508	BELO CAMPO	BA	772.756	10	INTERMEDIARIA10
2903706	2903706	BOA NOVA	BA	848.857	11	INTERMEDIARIA11
2903953	2903953	BOM JESUS DA SERRA	BA	467.909	12	INTERMEDIARIA12
2904605	2904605	BRUMADO	BA	2207.612	13	INTERMEDIARIA13
2904803	2904803	CAATIBA	BA	512.436	14	INTERMEDIARIA14
2905156	2905156	CAETANOS	BA	767.146	15	INTERMEDIARIA15
2906709	2906709	CÃ¢NDIDO SALES	BA	1169.814	16	INTERMEDIARIA16
2906899	2906899	CARAÃ­BAS	BA	805.629	17	INTERMEDIARIA17
2907558	2907558	CATURAMA	BA	716.261	18	INTERMEDIARIA18
2908705	2908705	CONDEÃºBA	BA	1348.039	19	INTERMEDIARIA19
2908804	2908804	CONTENDAS DO SINCORÃ¡	BA	977.455	20	INTERMEDIARIA20
2909000	2909000	CORDEIROS	BA	523.640	21	INTERMEDIARIA21
2909505	2909505	CRAVOLÃ¢NDIA	BA	182.585	22	INTERMEDIARIA22
2910008	2910008	DÃ¡RIO MEIRA	BA	413.637	23	INTERMEDIARIA23
2910107	2910107	DOM BASÃ­LIO	BA	689.516	24	INTERMEDIARIA24
2910404	2910404	ENCRUZILHADA	BA	1890.133	25	INTERMEDIARIA25
2911204	2911204	GANDU	BA	229.661	26	INTERMEDIARIA26
2911501	2911501	GONGOGI	BA	202.194	27	INTERMEDIARIA27
2912202	2912202	IBICOARA	BA	817.355	28	INTERMEDIARIA28
2912905	2912905	IBIRATAIA	BA	318.129	29	INTERMEDIARIA29
2913507	2913507	IGUAÃ­	BA	860.223	30	INTERMEDIARIA30
2913903	2913903	IPIAÃº	BA	280.454	31	INTERMEDIARIA31
2914208	2914208	IRAJUBA	BA	459.047	32	INTERMEDIARIA32
2914307	2914307	IRAMAIA	BA	1708.115	33	INTERMEDIARIA33
2915106	2915106	ITAGI	BA	310.621	34	INTERMEDIARIA34
2915205	2915205	ITAGIBÃ¡	BA	810.993	35	INTERMEDIARIA35
2915700	2915700	ITAMARI	BA	143.479	36	INTERMEDIARIA36
2915809	2915809	ITAMBÃ©	BA	1534.575	37	INTERMEDIARIA37
2916401	2916401	ITAPETINGA	BA	1651.158	38	INTERMEDIARIA38
2916708	2916708	ITAQUARA	BA	344.093	39	INTERMEDIARIA39
2916807	2916807	ITARANTIM	BA	1674.029	40	INTERMEDIARIA40
2916906	2916906	ITIRUÃ§U	BA	322.243	41	INTERMEDIARIA41
2917102	2917102	ITORORÃ³	BA	313.839	42	INTERMEDIARIA42
2917201	2917201	ITUAÃ§U	BA	1199.374	43	INTERMEDIARIA43
2917607	2917607	JAGUAQUARA	BA	924.512	44	INTERMEDIARIA44
2918001	2918001	JEQUIÃ©	BA	2969.039	45	INTERMEDIARIA45
2918308	2918308	JITAÃºNA	BA	262.050	46	INTERMEDIARIA46
2918605	2918605	JUSSIAPE	BA	589.763	47	INTERMEDIARIA47
2918704	2918704	LAFAIETE COUTINHO	BA	498.110	48	INTERMEDIARIA48
2919058	2919058	LAJEDO DO TABOCAL	BA	382.937	49	INTERMEDIARIA49
2919504	2919504	LIVRAMENTO DE NOSSA SENHORA	BA	1952.510	50	INTERMEDIARIA50
2919702	2919702	MACARANI	BA	1210.106	51	INTERMEDIARIA51
2919959	2919959	MAETINGA	BA	614.834	52	INTERMEDIARIA52
2920007	2920007	MAIQUINIQUE	BA	588.297	53	INTERMEDIARIA53
2920304	2920304	MALHADA DE PEDRAS	BA	550.550	54	INTERMEDIARIA54
2920403	2920403	MANOEL VITORINO	BA	2201.764	55	INTERMEDIARIA55
2920502	2920502	MARACÃ¡S	BA	2413.270	56	INTERMEDIARIA56
2921450	2921450	MIRANTE	BA	1172.860	57	INTERMEDIARIA57
2922706	2922706	NOVA CANAÃ£	BA	804.617	58	INTERMEDIARIA58
2922755	2922755	NOVA IBIÃ¡	BA	203.198	59	INTERMEDIARIA59
2923605	2923605	PARAMIRIM	BA	1087.060	60	INTERMEDIARIA60
2924678	2924678	PIRAÃ­ DO NORTE	BA	193.427	61	INTERMEDIARIA61
2924702	2924702	PIRIPÃ¡	BA	511.756	62	INTERMEDIARIA62
2924900	2924900	PLANALTINO	BA	955.454	63	INTERMEDIARIA63
2925006	2925006	PLANALTO	BA	769.000	64	INTERMEDIARIA64
2925105	2925105	POÃ§ÃΜES	BA	937.855	65	INTERMEDIARIA65
2925402	2925402	POTIRAGUÃ¡	BA	1111.567	66	INTERMEDIARIA66
2925709	2925709	PRESIDENTE JÃ¢NIO QUADROS	BA	1208.549	67	INTERMEDIARIA67
2926657	2926657	RIBEIRÃ£O DO LARGO	BA	1363.700	68	INTERMEDIARIA68
2926707	2926707	RIO DE CONTAS	BA	1115.252	69	INTERMEDIARIA69
2926905	2926905	RIO DO PIRES	BA	656.223	70	INTERMEDIARIA70
2927903	2927903	SANTA INÃªS	BA	379.270	71	INTERMEDIARIA71
2931004	2931004	TANHAÃ§U	BA	1277.514	72	INTERMEDIARIA72
2931608	2931608	TEOLÃ¢NDIA	BA	289.782	73	INTERMEDIARIA73
2931806	2931806	TREMEDAL	BA	2010.316	74	INTERMEDIARIA74
2932309	2932309	UBATÃ£	BA	177.643	75	INTERMEDIARIA75
2933307	2933307	VITÃ³RIA DA CONQUISTA	BA	3254.186	76	INTERMEDIARIA76
2933505	2933505	WENCESLAU GUIMARÃ£ES	BA	655.057	77	INTERMEDIARIA77
