Iden	NbPolygones
2933505	1
2933307	1
2932309	1
2931806	1
2931608	1
2931004	1
2927903	1
2926905	1
2926707	1
2926657	1
2925709	1
2925402	1
2925105	1
2925006	1
2924900	1
2924702	1
2924678	1
2923605	1
2922755	1
2922706	1
2921450	1
2920502	1
2920403	1
2920304	1
2920007	1
2919959	1
2919702	1
2919504	1
2919058	1
2918704	1
2918605	1
2918308	1
2918001	1
2917607	1
2917201	1
2917102	1
2916906	1
2916807	1
2916708	1
2916401	1
2915809	1
2915700	1
2915205	1
2915106	1
2914307	1
2914208	1
2913903	1
2913507	1
2912905	1
2912202	1
2911501	1
2911204	1
2910404	1
2910107	1
2910008	1
2909505	1
2909000	1
2908804	1
2908705	1
2907558	1
2906899	1
2906709	1
2905156	1
2904803	1
2904605	1
2903953	1
2903706	1
2903508	1
2903102	1
2902906	1
2902807	1
2902005	1
2901957	1
2901205	1
2900603	1
2900504	1
2900108	1
